t, real_GRF, FOB_GRF, MOB_GRF, posRWr_ref, posRWr, posRWtheta_ref, posRWtheta, tau_bi_m, tau_bi_b, qddot_m, qddot_b
0.229500, -0.859761, 0.346067, 3.000600, 0.353600, 0.361480, 1.570796, 1.601417, -0.118768, -0.134718, 30.395484, -1.781912
0.231000, 0.584301, -0.482338, 4.613998, 0.353600, 0.361488, 1.570796, 1.601182, 0.179399, 0.419413, 37.828021, 6.631282
0.232500, 1.044818, -0.485898, 1.222424, 0.353600, 0.361469, 1.570796, 1.601187, 0.038570, 0.147826, 12.293436, 0.118077
0.234000, 0.696314, 0.499934, 1.520176, 0.353600, 0.361470, 1.570796, 1.601224, -0.255251, 0.061395, 17.450281, 26.356350
0.235500, -0.229087, 0.938841, 0.181320, 0.353600, 0.361436, 1.570796, 1.601176, -0.248543, -0.264401, -1.448483, 14.057128
0.237000, 0.436584, -0.361019, -0.444952, 0.353600, 0.361421, 1.570796, 1.600953, -0.003994, 0.023753, -11.007377, 4.269193
0.238500, 0.287274, -0.258179, 1.938741, 0.353600, 0.361405, 1.570796, 1.600933, 0.003168, 0.028689, 9.407633, 31.505771
0.240000, 0.871989, -0.870971, 1.577015, 0.353600, 0.361391, 1.570796, 1.600775, 0.244411, 0.290482, -1.446009, 23.153278
0.241500, -0.635388, -1.468999, -5.687626, 0.353600, 0.361381, 1.570796, 1.600639, 0.221495, 0.263582, -61.679589, -59.016635
0.243000, -0.292157, -0.776987, 3.291204, 0.353600, 0.361368, 1.570796, 1.600685, 0.114831, 0.174272, 22.661055, -9.980239
0.244500, -0.076336, 0.157855, -3.873282, 0.353600, 0.361349, 1.570796, 1.600552, -0.062199, -0.038648, -26.877591, -47.359910
0.246000, 1.256123, 0.835701, -0.001705, 0.353600, 0.361332, 1.570796, 1.600529, -0.135580, -0.016457, -7.307132, 34.712405
0.247500, 1.638066, -0.771898, 0.379205, 0.353600, 0.361306, 1.570796, 1.600245, 0.382291, 0.405292, -5.271832, 13.538590
0.249000, 0.675508, 0.513662, -5.680842, 0.353600, 0.361300, 1.570796, 1.600365, -0.136734, 0.141489, -45.904859, -31.019036
0.250500, -0.039678, 0.099244, 1.415285, 0.353600, 0.361241, 1.570796, 1.600458, -0.077741, -0.109755, 12.739156, 27.580656
0.252000, -0.599865, -0.387880, -1.344224, 0.353600, 0.361226, 1.570796, 1.600337, 0.010838, 0.174905, -15.444294, 5.296601
0.253500, -0.453277, 0.831665, -1.433914, 0.353600, 0.361233, 1.570796, 1.600250, -0.138598, -0.193076, 4.295242, -37.901691
0.255000, -0.864645, -1.205229, -4.806948, 0.353600, 0.361210, 1.570796, 1.600026, 0.169967, 0.179403, -46.181840, -72.842305
0.256500, 1.445137, -0.529683, 6.832894, 0.353600, 0.361195, 1.570796, 1.600126, 0.161661, 0.364765, 56.213223, 49.548862
0.258000, -0.120165, -0.662472, 4.666223, 0.353600, 0.361136, 1.570796, 1.600231, -0.012968, -0.248081, 31.851223, 38.689376
0.259500, 0.112524, -1.044395, 7.398855, 0.353600, 0.361156, 1.570796, 1.599989, 0.243031, 0.317134, 76.048777, 1.255747
0.261000, -0.165066, 0.241104, 1.240610, 0.353600, 0.361081, 1.570796, 1.600042, -0.064425, -0.192377, 11.567782, 38.548728
0.262500, -0.242821, -0.998990, 3.705946, 0.353600, 0.361083, 1.570796, 1.600002, -0.019297, 0.136007, 33.626828, 30.371155
0.264000, -0.458569, 0.926805, -7.469108, 0.353600, 0.361077, 1.570796, 1.599588, 0.023505, -0.020823, -63.873886, -76.144385
0.265500, 0.457696, 1.115426, -0.701538, 0.353600, 0.361043, 1.570796, 1.599867, -0.241175, -0.177686, 3.126285, 14.551807
0.267000, 0.741601, -0.218160, 1.295350, 0.353600, 0.361048, 1.570796, 1.599613, 0.041752, 0.342956, 19.101647, -16.045865
0.268500, -0.962948, 1.990492, -4.356288, 0.353600, 0.361007, 1.570796, 1.599699, -0.455870, -0.332576, -17.284421, -37.427366
0.270000, 0.860325, 0.449033, 6.153892, 0.353600, 0.361009, 1.570796, 1.599650, -0.065415, 0.302027, 52.380204, 34.828080
0.271500, 0.327847, 1.239566, 0.410599, 0.353600, 0.360971, 1.570796, 1.599550, -0.147740, -0.078880, 7.822779, -16.465456
0.273000, -0.145611, -0.688959, -3.308807, 0.353600, 0.360913, 1.570796, 1.599411, 0.062867, -0.064794, -34.679227, -23.738351
0.274500, -1.396865, -0.448289, -3.056897, 0.353600, 0.360895, 1.570796, 1.599420, 0.082416, -0.226008, -22.659440, -51.829008
0.276000, 1.151127, 0.039869, 3.299784, 0.353600, 0.360886, 1.570796, 1.599392, 0.086595, 0.244979, 21.333269, 56.030748
0.277500, 0.841862, -0.321454, -6.968239, 0.353600, 0.360854, 1.570796, 1.599178, 0.124918, 0.256473, -60.935012, -34.117765
0.279000, -0.506892, -0.396315, 3.172668, 0.353600, 0.360811, 1.570796, 1.599364, 0.144740, -0.136257, 19.063852, 44.131873
0.280500, -2.391478, -1.158718, -5.371990, 0.353600, 0.360830, 1.570796, 1.599172, 0.067615, -0.067749, -36.690730, -123.070172
0.282000, -0.392415, -1.069657, -1.052655, 0.353600, 0.360830, 1.570796, 1.598995, 0.155323, 0.315601, -9.255221, -58.852786
0.283500, 0.567102, 0.765959, 4.382656, 0.353600, 0.360747, 1.570796, 1.599300, -0.096182, -0.314351, 29.670493, 100.777944
0.285000, 0.836753, 0.567640, 0.865437, 0.353600, 0.360761, 1.570796, 1.599121, -0.077978, -0.139752, 5.914640, 27.407284
0.286500, 0.271558, 0.276683, -3.170723, 0.353600, 0.360715, 1.570796, 1.599074, -0.119504, -0.186815, -35.148607, 32.812401
